SKU,product_name,category,gross_weight,diamond_weight,colour_stones,net_weight,product_image,usertypes,,,,,,,
DHP 137,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.82,0.087,0,2.803,,"Premium, Normal, ",,,,,,,
DHP 138,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.07,0.07,0,3.056,,"Premium, Normal, ",,,,,,,
DHP 139,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.21,0.085,0,3.193,,"Premium, Normal, ",,,,,,,
DHP 140,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.46,0.065,0,2.447,,"Premium, Normal, ",,,,,,,
DHP 141,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.28,0.073,0.521,3.161,,"Premium, Normal, ",,,,,,,
DHP 143,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.83,0.154,0,3.799,,"Premium, Normal, ",,,,,,,
DHP 144,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.03,0.069,0.54,2.908,,"Premium, Normal, ",,,,,,,
DHP 145,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.69,0.108,0.502,2.568,,"Premium, Normal, ",,,,,,,
DHP 146,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.94,0.126,0,2.915,,"Premium, Normal, ",,,,,,,
DHP 147,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.26,0.14,0,3.232,,"Premium, Normal, ",,,,,,,
DHP 148,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.68,0.11,0,2.658,,"Premium, Normal, ",,,,,,,
DHP 149,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.46,0.175,0,3.425,,"Premium, Normal, ",,,,,,,
DHP 150,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.68,0.158,0,3.648,,"Premium, Normal, ",,,,,,,
DHP 151,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.21,0.168,0,3.176,,"Premium, Normal, ",,,,,,,
DHP 152,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.44,0.132,0,3.414,,"Premium, Normal, ",,,,,,,
DHP 154,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.41,0.091,0,2.392,,"Premium, Normal, ",,,,,,,
DHP 155,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.78,0.093,0,2.761,,"Premium, Normal, ",,,,,,,
DHP 156,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.29,0.085,0,2.273,,"Premium, Normal, ",,,,,,,
DHP 157,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.47,0.05,0.408,2.378,,"Premium, Normal, ",,,,,,,
DHP 158,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.34,0.057,0,2.329,,"Premium, Normal, ",,,,,,,
DHP 159,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.68,0.101,0,2.66,,"Premium, Normal, ",,,,,,,
DHP 160,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.51,0.068,0,2.496,,"Premium, Normal, ",,,,,,,
DHP 162,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.37,0.08,0,2.354,,"Premium, Normal, ",,,,,,,
DHP 163,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.13,0.175,0,3.095,,"Premium, Normal, ",,,,,,,
DHP 165,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,3.22,0.23,0,3.174,,"Premium, Normal, ",,,,,,,
DHP 167,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.51,0.051,0,2.5,,"Premium, Normal, ",,,,,,,
DHP 168,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.72,0.137,0,2.693,,"Premium, Normal, ",,,,,,,
DHP 169,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.75,0.117,0,2.727,,"Premium, Normal, ",,,,,,,
DHP 170,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.75,0.2,0,2.71,,"Premium, Normal, ",,,,,,,
DHP 171,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.25,0.12,0,2.226,,"Premium, Normal, ",,,,,,,
DHP 172,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.39,0.036,0,2.383,,"Premium, Normal, ",,,,,,,
DHP 173,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.65,0.126,0,2.625,,"Premium, Normal, ",,,,,,,
DHP 174,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.86,0.098,0,2.84,,"Premium, Normal, ",,,,,,,
DHP 175,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.6,0.065,0,2.587,,"Premium, Normal, ",,,,,,,
DHP 176,DOUBLE HOOK PENDANT,DOUBLE HOOK PENDANT,2.4,0.116,0,2.377,,"Premium, Normal, ",,,,,,,
