SKU,product_name,category,gross_weight,diamond_weight,colour_stones,net_weight,product_image,usertypes
SD 191,STUD,STUD,1.02,0.05,0,1.01,,"Premium, Normal, "
SD 193,STUD,STUD,1.03,0.03,0,1.024,,"Premium, Normal, "
SD 194,STUD,STUD,0.85,0.06,0,0.838,,"Premium, Normal, "
SD 195,STUD,STUD,1.03,0.04,0,1.022,,"Premium, Normal, "
SD 196,STUD,STUD,1,0.05,0,0.99,,"Premium, Normal, "
SD 197,STUD,STUD,1.03,0.04,0,1.022,,"Premium, Normal, "
SD 198,STUD,STUD,1.06,0.05,0,1.05,,"Premium, Normal, "
SD 199,STUD,STUD,1.17,0.05,0,1.16,,"Premium, Normal, "
SD 200,STUD,STUD,1.04,0.02,0,1.036,,"Premium, Normal, "
SD 201,STUD,STUD,1,0.04,0,0.992,,"Premium, Normal, "
SD 202,STUD,STUD,1.2,0.02,0,1.196,,"Premium, Normal, "
SD 203,STUD,STUD,1.01,0.04,0,1.002,,"Premium, Normal, "
SD 204,STUD,STUD,0.95,0.04,0,0.942,,"Premium, Normal, "
SD 205,STUD,STUD,1.07,0.04,0,1.062,,"Premium, Normal, "
SD 206,STUD,STUD,0.99,0.03,0,0.984,,"Premium, Normal, "
SD 207,STUD,STUD,0.97,0.04,0,0.962,,"Premium, Normal, "
SD 208,STUD,STUD,1.09,0.03,0,1.084,,"Premium, Normal, "
SD 209,STUD,STUD,1.11,0.05,0,1.1,,"Premium, Normal, "
SD 210,STUD,STUD,0.95,0.03,0,0.944,,"Premium, Normal, "
SD 211,STUD,STUD,0.84,0.04,0,0.832,,"Premium, Normal, "
SD 212,STUD,STUD,1.09,0.1,0,1.07,,"Premium, Normal, "
SD 213,STUD,STUD,1.24,0.05,0,1.23,,"Premium, Normal, "
SD 214,STUD,STUD,0.95,0.04,0,0.942,,"Premium, Normal, "
SD 215,STUD,STUD,1.43,0.13,0,1.404,,"Premium, Normal, "
SD 216,STUD,STUD,1.14,0.09,0,1.122,,"Premium, Normal, "
SD 217,STUD,STUD,1.78,0.09,0,1.762,,"Premium, Normal, "
SD 218,STUD,STUD,1.86,0.12,0,1.836,,"Premium, Normal, "
SD 219,STUD,STUD,1.6,0.08,0,1.584,,"Premium, Normal, "
SD 220,STUD,STUD,2.33,0.11,0,2.308,,"Premium, Normal, "
SD 221,STUD,STUD,1.93,0.12,0,1.906,,"Premium, Normal, "
SD 222,STUD,STUD,1.08,0.16,0,1.048,,"Premium, Normal, "
SD 223,STUD,STUD,1.45,0.08,0,1.434,,"Premium, Normal, "
SD 224,STUD,STUD,1.33,0.04,0,1.322,,"Premium, Normal, "
SD 230,STUD,STUD,1.7,0.17,0.549,1.556,,"Premium, Normal, "
