SKU,product_name,category,gross_weight,diamond_weight,colour_stones,net_weight,product_image,usertypes
LR 397,RING,RING,1.35,0.05,0,1.34,,"Premium, Normal, "
LR 398,RING,RING,1.55,0.05,0,1.54,,"Premium, Normal, "
LR 399,RING,RING,1.03,0.03,0,1.024,,"Premium, Normal, "
LR 400,RING,RING,1.38,0.08,0,1.364,,"Premium, Normal, "
LR 401,RING,RING,1.51,0.06,0,1.498,,"Premium, Normal, "
LR 402,RING,RING,2.24,0.16,0,2.208,,"Premium, Normal, "
LR 403,RING,RING,1.8,0.09,0,1.782,,"Premium, Normal, "
LR 404,RING,RING,2.04,0.1,0,2.02,,"Premium, Normal, "
LR 405,RING,RING,1.7,0.08,0,1.684,,"Premium, Normal, "
LR 406,RING,RING,1.57,0.17,0,1.536,,"Premium, Normal, "
LR 407,RING,RING,1.63,0.13,0,1.604,,"Premium, Normal, "
LR 408,RING,RING,1.4,0.18,0,1.364,,"Premium, Normal, "
LR 409,RING,RING,1.97,0.15,0,1.94,,"Premium, Normal, "
LR 411,RING,RING,2.92,0.12,0,2.896,,"Premium, Normal, "
LR 413,RING,RING,1.77,0.1,0,1.75,,"Premium, Normal, "
LR 414,RING,RING,1.63,0.06,0,1.618,,"Premium, Normal, "
LR 415,RING,RING,1.77,0.26,0,1.718,,"Premium, Normal, "
LR 416,RING,RING,1.36,0.11,0,1.338,,"Premium, Normal, "
LR 417,RING,RING,1.29,0.09,0,1.272,,"Premium, Normal, "
LR 418,RING,RING,1.78,0.09,0,1.762,,"Premium, Normal, "
LR 419,RING,RING,1.38,0.15,0,1.35,,"Premium, Normal, "
LR 421,RING,RING,0.48,0.01,0,0.478,,"Premium, Normal, "
LR 422,RING,RING,0.53,0.01,0,0.528,,"Premium, Normal, "
LR 423,RING,RING,1.77,0.19,0,1.732,,"Premium, Normal, "
LR 424,RING,RING,1.51,0.08,0.586,1.377,,"Premium, Normal, "
LR 425,RING,RING,1.99,0.15,0,1.96,,"Premium, Normal, "
LR 426,RING,RING,0.48,0.01,0,0.478,,"Premium, Normal, "
LR 427,RING,RING,0.51,0.01,0,0.508,,"Premium, Normal, "
LR 428,RING,RING,0.55,0.01,0,0.548,,"Premium, Normal, "
LR 429,RING,RING,1.71,0.1,0.799,1.53,,"Premium, Normal, "
LR 430,RING,RING,1.37,0.07,0.642,1.228,,"Premium, Normal, "
LR 431,RING,RING,1.95,0.11,1.337,1.661,,"Premium, Normal, "
LR 432,RING,RING,1.85,0.11,0.928,1.642,,"Premium, Normal, "
LR 433,RING,RING,1.67,0.1,1.168,1.416,,"Premium, Normal, "
LR 435,RING,RING,1.17,0.05,0,1.16,,"Premium, Normal, "
LR 436,RING,RING,0.94,0.06,0,0.928,,"Premium, Normal, "
LR 437,RING,RING,1.21,0.05,0,1.2,,"Premium, Normal, "
LR 439,RING,RING,0.75,0.03,0,0.744,,"Premium, Normal, "
LR 440,RING,RING,0.66,0.02,0,0.656,,"Premium, Normal, "
LR 441,RING,RING,0.72,0.04,0,0.712,,"Premium, Normal, "
LR 442,RING,RING,0.72,0.01,0,0.718,,"Premium, Normal, "
LR 443,RING,RING,1.06,0.11,0,1.038,,"Premium, Normal, "
LR 444,RING,RING,0.69,0.01,0,0.688,,"Premium, Normal, "
LR 445,RING,RING,0.68,0.09,0,0.662,,"Premium, Normal, "
LR 446,RING,RING,0.59,0.02,0,0.586,,"Premium, Normal, "
LR 447,RING,RING,0.91,0.07,0,0.896,,"Premium, Normal, "
LR 448,RING,RING,0.76,0.05,0,0.75,,"Premium, Normal, "
LR 449,RING,RING,1.19,0.05,0,1.18,,"Premium, Normal, "
LR 450,RING,RING,0.82,0.02,0,0.816,,"Premium, Normal, "
LR 451,RING,RING,1.23,0.05,0,1.22,,"Premium, Normal, "
LR 452,RING,RING,0.95,0.04,0,0.942,,"Premium, Normal, "
LR 453,RING,RING,0.9,0.03,0,0.894,,"Premium, Normal, "
LR 454,RING,RING,0.75,0.03,0,0.744,,"Premium, Normal, "
LR 455,RING,RING,0.7,0.02,0,0.696,,"Premium, Normal, "
LR 456,RING,RING,0.74,0.02,0,0.736,,"Premium, Normal, "
LR 457,RING,RING,0.72,0.01,0,0.718,,"Premium, Normal, "
LR 460,RING,RING,0.76,0.03,0,0.754,,"Premium, Normal, "
LR 461,RING,RING,0.86,0.02,0,0.856,,"Premium, Normal, "
LR 463,RING,RING,0.77,0.06,0,0.758,,"Premium, Normal, "
LR 464,RING,RING,0.9,0.01,0,0.898,,"Premium, Normal, "
LR 465,RING,RING,0.9,0.04,0,0.892,,"Premium, Normal, "
LR 466,RING,RING,0.92,0.11,0,0.898,,"Premium, Normal, "
LR 467,RING,RING,1.21,0.06,0.067,1.185,,"Premium, Normal, "
LR 468,RING,RING,1.35,0.09,0,1.332,,"Premium, Normal, "
LR 469,RING,RING,1.13,0.08,0.497,1.015,,"Premium, Normal, "
LR 470,RING,RING,0.29,0.01,0,0.288,,"Premium, Normal, "
LR 471,RING,RING,0.32,0.01,0,0.318,,"Premium, Normal, "
LR 472,RING,RING,0.35,0.01,0,0.348,,"Premium, Normal, "
LR 473,RING,RING,0.38,0.01,0,0.378,,"Premium, Normal, "
LR 474,RING,RING,0.3,0.01,0,0.298,,"Premium, Normal, "
LR 475,RING,RING,0.3,0.01,0,0.298,,"Premium, Normal, "
LR 476,RING,RING,1.4,0.09,1.485,1.085,,"Premium, Normal, "
LR 477,RING,RING,1.11,0.12,0,1.086,,"Premium, Normal, "
LR 478,RING,RING,1.99,0.11,0,1.968,,"Premium, Normal, "
LR 479,RING,RING,1.52,0.1,0.775,1.345,,"Premium, Normal, "
LR 480,RING,RING,0.97,0.13,0,0.944,,"Premium, Normal, "
LR 481,RING,RING,1.22,0.12,0,1.196,,"Premium, Normal, "
LR 482,RING,RING,1.33,0.15,0,1.3,,"Premium, Normal, "
LR 483,RING,RING,0.85,0.03,0,0.844,,"Premium, Normal, "
LR 484,RING,RING,0.8,0.04,0,0.792,,"Premium, Normal, "
LR 485,RING,RING,0.102,0.1,0,0.082,,"Premium, Normal, "
LR 486,RING,RING,0.89,0.06,0,0.878,,"Premium, Normal, "
LR 487,RING,RING,0.93,0.08,0,0.914,,"Premium, Normal, "
LR 488,RING,RING,0.81,0.08,0,0.794,,"Premium, Normal, "
LR 489,RING,RING,1.59,0.18,0,1.554,,"Premium, Normal, "
LR 490,RING,RING,1.12,0.05,0,1.11,,"Premium, Normal, "
LR 491,RING,RING,0.87,0.05,0,0.86,,"Premium, Normal, "
LR 492,RING,RING,0.86,0.05,0,0.85,,"Premium, Normal, "
LR 493,RING,RING,0.9,0.04,0,0.892,,"Premium, Normal, "
LR 494,RING,RING,1.26,0.09,0.348,1.172,,"Premium, Normal, "
LR 495,RING,RING,1.17,0.12,0.406,1.065,,"Premium, Normal, "
LR 496,RING,RING,1.21,0.05,0,1.2,,"Premium, Normal, "
LR 497,RING,RING,2.12,0.15,0.526,1.985,,"Premium, Normal, "
LR 498,RING,RING,1.06,0.04,0,1.052,,"Premium, Normal, "
LR 499,RING,RING,0.95,0.05,0,0.94,,"Premium, Normal, "
LR 500,RING,RING,1.13,0.08,0,1.114,,"Premium, Normal, "
LR 501,RING,RING,1.32,0.08,0,1.304,,"Premium, Normal, "
LR 502,RING,RING,0.95,0.05,0,0.94,,"Premium, Normal, "
LR 503,RING,RING,0.9,0.09,0,0.882,,"Premium, Normal, "
LR 504,RING,RING,1.44,0.15,0,1.41,,"Premium, Normal, "
LR 505,RING,RING,2.01,0.12,0,1.986,,"Premium, Normal, "
LR 506,RING,RING,1.38,0.1,0,1.36,,"Premium, Normal, "
LR 507,RING,RING,1.1,0.05,0,1.09,,"Premium, Normal, "
LR 508,RING,RING,0.98,0.05,0,0.97,,"Premium, Normal, "
LR 510,RING,RING,1.27,0.09,0.265,1.199,,"Premium, Normal, "
LR 511,RING,RING,1.08,0.07,0.276,1.011,,"Premium, Normal, "
LR 513,RING,RING,1.35,0.09,0.628,1.206,,"Premium, Normal, "
LR 514,RING,RING,1.17,0.09,0.868,0.978,,"Premium, Normal, "
,,,,,,,,"Premium, Normal, "
