SKU,product_name,category,gross_weight,diamond_weight,colour_stones,net_weight,product_image,usertypes
PB 057,PIPE BANGLE,PIPE BANGLE,4.7,0.106,0,4.6788,,"Premium, Normal, "
PB 060,PIPE BANGLE,PIPE BANGLE,4.11,0.129,0,4.0842,,"Premium, Normal, "
PB 064,PIPE BANGLE,PIPE BANGLE,4.86,0.106,0,4.839,,"Premium, Normal, "
PB 067,PIPE BANGLE,PIPE BANGLE,4.28,0.075,0,4.265,,"Premium, Normal, "
PB 069,PIPE BANGLE,PIPE BANGLE,4.26,0.089,0,4.242,,"Premium, Normal, "
PB 084,PIPE BANGLE,PIPE BANGLE,3.82,0.048,0,3.81,,"Premium, Normal, "
PB 085,PIPE BANGLE,PIPE BANGLE,4.44,0.096,0,4.421,,"Premium, Normal, "
PB 086,PIPE BANGLE,PIPE BANGLE,4.51,0.06,0,4.498,,"Premium, Normal, "
PB 087,PIPE BANGLE,PIPE BANGLE,4.46,0.103,0,4.439,,"Premium, Normal, "
PB 088,PIPE BANGLE,PIPE BANGLE,4.03,0.048,0,4.02,,"Premium, Normal, "
PB 089,PIPE BANGLE,PIPE BANGLE,4.34,0.072,0,4.326,,"Premium, Normal, "
PB 090,PIPE BANGLE,PIPE BANGLE,4.13,0.066,0,4.117,,"Premium, Normal, "
PB 091,PIPE BANGLE,PIPE BANGLE,3.97,0.076,0,3.955,,"Premium, Normal, "
PB 092,PIPE BANGLE,PIPE BANGLE,4.3,0.05,0,4.29,,"Premium, Normal, "
PB 093,PIPE BANGLE,PIPE BANGLE,4.75,0.109,0,4.728,,"Premium, Normal, "
PB 094,PIPE BANGLE,PIPE BANGLE,4.44,0.061,0,4.428,,"Premium, Normal, "
PB 095,PIPE BANGLE,PIPE BANGLE,4.58,0.085,0,4.563,,"Premium, Normal, "
PB 096,PIPE BANGLE,PIPE BANGLE,4.8,0.046,0,4.791,,"Premium, Normal, "
PB 097,PIPE BANGLE,PIPE BANGLE,4.57,0.098,0,4.55,,"Premium, Normal, "
PB 098,PIPE BANGLE,PIPE BANGLE,4.74,0.116,0,4.717,,"Premium, Normal, "
PB 099,PIPE BANGLE,PIPE BANGLE,3.79,0.102,0,3.77,,"Premium, Normal, "
PB 100,PIPE BANGLE,PIPE BANGLE,3.93,0.083,0,3.913,,"Premium, Normal, "
PB 101,PIPE BANGLE,PIPE BANGLE,4.21,0.14,0,4.182,,"Premium, Normal, "
PB 102,PIPE BANGLE,PIPE BANGLE,4.62,0.094,0,4.601,,"Premium, Normal, "
PB 107,PIPE BANGLE,PIPE BANGLE,4.25,0.086,0,4.233,,"Premium, Normal, "
PB 108,PIPE BANGLE,PIPE BANGLE,4.38,0.099,0,4.36,,"Premium, Normal, "
PB 109,PIPE BANGLE,PIPE BANGLE,4.46,0.102,0,4.44,,"Premium, Normal, "
PB 110,PIPE BANGLE,PIPE BANGLE,4.59,0.105,0,4.569,,"Premium, Normal, "
PB 111,PIPE BANGLE,PIPE BANGLE,4.12,0.069,0,4.106,,"Premium, Normal, "
PB 112,PIPE BANGLE,PIPE BANGLE,4.29,0.151,0,4.26,,"Premium, Normal, "
PB 113,PIPE BANGLE,PIPE BANGLE,4.25,0.117,0,4.227,,"Premium, Normal, "
PB 114,PIPE BANGLE,PIPE BANGLE,4.61,0.115,0,4.587,,"Premium, Normal, "
PB 115,PIPE BANGLE,PIPE BANGLE,4.53,0.141,0,4.502,,"Premium, Normal, "
PB 117,PIPE BANGLE,PIPE BANGLE,4.16,0.121,0,4.136,,"Premium, Normal, "
PB 118,PIPE BANGLE,PIPE BANGLE,4.69,0.163,0,4.6574,,"Premium, Normal, "
PB 119,PIPE BANGLE,PIPE BANGLE,4.53,0.159,0,4.4982,,"Premium, Normal, "
PB 120,PIPE BANGLE,PIPE BANGLE,3.75,0.097,0,3.7306,,"Premium, Normal, "
PB 121,PIPE BANGLE,PIPE BANGLE,4.24,0.072,0,4.2256,,"Premium, Normal, "
PB 122,PIPE BANGLE,PIPE BANGLE,4.1,0.125,0,4.075,,"Premium, Normal, "
PB 124,PIPE BANGLE,PIPE BANGLE,3.87,0.071,0,3.8558,,"Premium, Normal, "
PB 125,PIPE BANGLE,PIPE BANGLE,3.97,0.112,0,3.9476,,"Premium, Normal, "
PB 129,PIPE BANGLE,PIPE BANGLE,4.35,0.125,0,4.325,,"Premium, Normal, "
PB 131,PIPE BANGLE,PIPE BANGLE,4.11,0.118,0,4.0864,,"Premium, Normal, "
PB 132,PIPE BANGLE,PIPE BANGLE,4.31,0.155,0,4.279,,"Premium, Normal, "
PB 133,PIPE BANGLE,PIPE BANGLE,4.78,0.097,0.522,4.6562,,"Premium, Normal, "
PB 134,PIPE BANGLE,PIPE BANGLE,4.4,0.189,0,4.362,,"Premium, Normal, "
PB 135,PIPE BANGLE,PIPE BANGLE,4.58,0.117,0,4.557,,"Premium, Normal, "
PB 136,PIPE BANGLE,PIPE BANGLE,7.27,0.141,0,7.242,,"Premium, Normal, "
PB 137,PIPE BANGLE,PIPE BANGLE,4.515,0.127,0,4.49,,"Premium, Normal, "
PB 138,PIPE BANGLE,PIPE BANGLE,4.12,0.068,0,4.106,,"Premium, Normal, "
